Biometrie Statistisch Redeneren 2013-2014,,,
,,,
Man/Vrouw,Gewicht,Lengte,Schoenmaat
,(kg),(cm),
,,,
M ,60,183,42
M ,130,185,45
M ,84,180,42
M ,65,195,45
M ,55,170,42
F,63,173,41
M ,74,185,43
F,50,170,38
F,82,180,42
M ,77,190,44
M ,76,179,43
M ,66,178,42
M ,79,186,45
M ,76,189,44
M ,75,175,42
M ,90,190,46
M ,70,180,41
F,46,164,36
M ,98,189,44
M ,79,180,43
M ,67,189,44
M ,81,190,45.3
M ,85,190,44.5
M ,75,188,44
M ,70,178,43
M ,60,180,43
M ,73,192,44
M ,76,174,42
M ,78,187,44
F,75,162,38
F,50,165,37
M ,76,188,44.5
M ,73,180,43
